IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00090 -0.000120927 -0.000100663 -0.000079505 -0.0000743307 -0.0000662393 -0.0000598859 -0.0000533556 -0.0000489538 -0.0000440938 -0.0000399475 -0.0000399475
GSP_Buckner_HU_00091 -0.000151563 -0.000116781 -0.00009581 -0.0000902858 -0.0000792934 -0.0000713945 -0.0000631798 -0.000057734 -0.0000519225 -0.000047048 -0.000047048
GSP_Buckner_HU_00092 -0.000157067 -0.0000995521 -0.000074945 -0.0000707428 -0.0000629222 -0.0000580666 -0.0000518948 -0.0000473908 -0.0000428718 -0.0000388702 -0.0000388702
GSP_Buckner_HU_00093 -0.0000731841 -0.0000642211 -0.0000553403 -0.0000566496 -0.0000531042 -0.0000492493 -0.0000452175 -0.0000421209 -0.0000380081 -0.0000344247 -0.0000344247
GSP_Buckner_HU_00095 -0.000153868 -0.000100257 -0.0000776846 -0.0000684485 -0.0000590756 -0.0000511439 -0.0000451183 -0.0000415974 -0.0000376761 -0.0000341433 -0.0000341433
GSP_Buckner_HU_00096 -0.000150377 -0.000114707 -0.0000921784 -0.0000856698 -0.0000751989 -0.0000679981 -0.0000602383 -0.0000544701 -0.0000493795 -0.0000447655 -0.0000447655
GSP_Buckner_HU_00097 -0.000161929 -0.000116442 -0.0000903823 -0.0000807415 -0.0000701176 -0.00006127 -0.0000544814 -0.0000494974 -0.0000446167 -0.0000404085 -0.0000404085
GSP_Buckner_HU_00098 -0.0000728555 -0.0000677922 -0.0000548182 -0.0000558931 -0.0000499224 -0.0000450299 -0.0000403822 -0.0000374657 -0.0000338481 -0.0000307531 -0.0000307531
GSP_Buckner_HU_00101 -0.000101727 -0.0000819028 -0.0000699254 -0.0000659939 -0.0000588489 -0.0000519112 -0.0000463608 -0.0000421801 -0.0000381429 -0.0000345918 -0.0000345918
GSP_Buckner_HU_00103 -0.000101554 -0.0000846671 -0.0000664285 -0.0000648591 -0.0000551104 -0.0000505906 -0.0000448154 -0.0000417516 -0.0000378884 -0.0000343816 -0.0000343816
GSP_Buckner_HU_00108 -0.000142675 -0.0000974943 -0.0000783026 -0.0000729137 -0.0000632907 -0.0000564021 -0.0000501848 -0.0000460269 -0.0000416712 -0.0000376743 -0.0000376743
GSP_Buckner_HU_00109 -0.0001364 -0.000104042 -0.0000841338 -0.0000783664 -0.000066949 -0.0000586551 -0.0000516896 -0.0000468944 -0.0000421324 -0.0000381389 -0.0000381389
GSP_Buckner_HU_00114 -0.000110874 -0.0000838391 -0.0000671954 -0.0000649446 -0.0000571771 -0.0000520548 -0.0000475959 -0.0000440639 -0.0000399419 -0.0000363034 -0.0000363034
GSP_Buckner_HU_00115 -0.000120201 -0.000106548 -0.0000871501 -0.0000796204 -0.0000729617 -0.0000648858 -0.0000575106 -0.0000527105 -0.0000476965 -0.0000431898 -0.0000431898
GSP_Buckner_HU_00116 -0.00019879 -0.000151981 -0.000123182 -0.000111424 -0.0000986689 -0.0000858296 -0.000075092 -0.0000680172 -0.0000609789 -0.0000551871 -0.0000551871
GSP_Buckner_HU_00118 -0.000152533 -0.000102696 -0.0000800319 -0.0000736627 -0.0000643188 -0.0000567471 -0.0000497723 -0.0000456845 -0.0000413437 -0.0000374988 -0.0000374988
GSP_Buckner_HU_00119 -0.000126534 -0.0000987386 -0.0000800549 -0.0000743003 -0.0000660133 -0.0000585603 -0.0000525834 -0.0000479702 -0.0000432709 -0.0000391793 -0.0000391793
GSP_Buckner_HU_00122 0.00000676611 -0.00000126097 -0.00000292225 -0.0000140237 -0.0000141975 -0.0000143053 -0.0000145204 -0.0000145272 -0.0000135533 -0.000012408 -0.000012408
GSP_Buckner_HU_00123 -0.000138937 -0.000106316 -0.0000858681 -0.0000757771 -0.0000658876 -0.0000590105 -0.0000532615 -0.0000488411 -0.0000441331 -0.0000399 -0.0000399
GSP_Buckner_HU_00126 -0.000110431 -0.0000855015 -0.0000733729 -0.0000703223 -0.0000623957 -0.0000546393 -0.0000488671 -0.0000441173 -0.0000399693 -0.0000362175 -0.0000362175
GSP_Buckner_HU_00127 -0.0000833199 -0.000067268 -0.0000575565 -0.0000584591 -0.0000522203 -0.0000468581 -0.0000419762 -0.0000385994 -0.0000349994 -0.000031798 -0.000031798
GSP_Buckner_HU_00128 -0.000109684 -0.0000842028 -0.0000717518 -0.0000700015 -0.0000632593 -0.0000574067 -0.0000514571 -0.0000473783 -0.0000429292 -0.0000389325 -0.0000389325
GSP_Buckner_HU_00132 -0.000129146 -0.000102715 -0.0000841733 -0.0000767511 -0.0000667582 -0.0000586489 -0.000052013 -0.0000475883 -0.000042943 -0.0000389187 -0.0000389187
GSP_Buckner_HU_00134 -0.000104488 -0.0000748481 -0.0000603447 -0.00006077 -0.0000535819 -0.0000478905 -0.0000426024 -0.0000387679 -0.0000348968 -0.000031686 -0.000031686
GSP_Buckner_HU_00136 -0.000149964 -0.0000997757 -0.0000786564 -0.0000719478 -0.0000633831 -0.0000566919 -0.0000508784 -0.0000462818 -0.0000419386 -0.0000379862 -0.0000379862
GSP_Buckner_HU_00137 -0.00016145 -0.000116504 -0.0000906086 -0.0000850219 -0.0000742639 -0.0000650556 -0.000058272 -0.0000531521 -0.0000478952 -0.0000432768 -0.0000432768
GSP_Buckner_HU_00138 -0.000103713 -0.0000769957 -0.0000677358 -0.0000646552 -0.0000565919 -0.0000523029 -0.0000475598 -0.0000433849 -0.0000392402 -0.000035523 -0.000035523
