IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00272 0.000481412 0.000404758 0.000357377 0.000316961 0.000285872 0.000260302 0.000237941 0.000218785 0.00020196 0.000188305 0.000188305
GSP_Buckner_HU_00273 0.000445507 0.000376916 0.000332351 0.000294827 0.000265964 0.000241559 0.000221304 0.000203741 0.000187956 0.000175268 0.000175268
GSP_Buckner_HU_00276 0.000488155 0.000408279 0.000360933 0.000320993 0.000289853 0.000263826 0.000241141 0.000221537 0.000204558 0.000190721 0.000190721
GSP_Buckner_HU_00278 0.000442438 0.000383674 0.000341097 0.000305515 0.000276094 0.000252497 0.000230984 0.000212627 0.000196293 0.00018303 0.00018303
GSP_Buckner_HU_00280 0.000510654 0.000434812 0.000381939 0.000339367 0.000305509 0.000278011 0.000253672 0.00023298 0.000215048 0.000200479 0.000200479
GSP_Buckner_HU_00282 0.000369902 0.000316443 0.000281491 0.000250379 0.000225729 0.000205457 0.000187319 0.00017188 0.000158447 0.000147758 0.000147758
GSP_Buckner_HU_00286 0.000427959 0.000366363 0.000323969 0.000288612 0.000259418 0.000235895 0.0002151 0.000197873 0.000182495 0.000170108 0.000170108
GSP_Buckner_HU_00288 0.000478062 0.000403175 0.00035455 0.000313704 0.000282834 0.00025765 0.000234918 0.000216084 0.000199452 0.000185962 0.000185962
GSP_Buckner_HU_00289 0.00050735 0.000424485 0.000370795 0.00032819 0.000295703 0.000269254 0.000245951 0.000226259 0.000208868 0.000194724 0.000194724
GSP_Buckner_HU_00290 0.000308021 0.000271255 0.000243061 0.00021648 0.00019563 0.00017865 0.000162948 0.000150206 0.000138558 0.000129232 0.000129232
GSP_Buckner_HU_00291 0.000431153 0.000362594 0.000319891 0.000283863 0.000255836 0.000232888 0.000212889 0.000195608 0.000180366 0.000168144 0.000168144
GSP_Buckner_HU_00292 0.000371572 0.000328688 0.000295008 0.000264106 0.000239301 0.000218869 0.000199962 0.000183722 0.000169511 0.000158046 0.000158046
GSP_Buckner_HU_00296 0.000387193 0.000339314 0.000303278 0.000271846 0.000246784 0.000225936 0.000206887 0.000190522 0.000175746 0.000163894 0.000163894
GSP_Buckner_HU_00298 0.000346751 0.000303375 0.000271604 0.000241779 0.000219899 0.000200559 0.000183337 0.000168906 0.000155756 0.0001452 0.0001452
GSP_Buckner_HU_00299 0.000493621 0.000416957 0.000366366 0.000324513 0.000292173 0.00026603 0.000243243 0.000223711 0.000206445 0.000192447 0.000192447
GSP_Buckner_HU_00301 0.00045765 0.000385164 0.000340278 0.000300832 0.000272423 0.000249268 0.000227648 0.000209374 0.000193038 0.000179971 0.000179971
GSP_Buckner_HU_00306 0.000361392 0.000317524 0.000286239 0.000255187 0.000231122 0.000211171 0.000192796 0.000177398 0.00016367 0.000152609 0.000152609
GSP_Buckner_HU_00307 0.000445306 0.000374538 0.000330998 0.000292204 0.000263121 0.000239836 0.000219527 0.000202217 0.00018657 0.000173916 0.000173916
GSP_Buckner_HU_00308 0.000476759 0.000402777 0.000353242 0.000313042 0.0002819 0.000256565 0.000233671 0.000214881 0.000198297 0.000184866 0.000184866
GSP_Buckner_HU_00309 0.000430321 0.000360945 0.000320357 0.000285551 0.000258196 0.000235733 0.000215194 0.000197772 0.000182523 0.000170176 0.000170176
GSP_Buckner_HU_00310 0.000350647 0.000305846 0.000270747 0.000241573 0.000218817 0.000199877 0.000182209 0.00016757 0.000154559 0.000144138 0.000144138
GSP_Buckner_HU_00311 0.000427686 0.000366204 0.000325029 0.000288434 0.000259662 0.000237002 0.000216653 0.000199175 0.000183777 0.000171324 0.000171324
GSP_Buckner_HU_00313 0.000479462 0.000407625 0.000359482 0.000318847 0.000286312 0.000260633 0.000237735 0.000218514 0.00020164 0.000188043 0.000188043
GSP_Buckner_HU_00314 0.000499415 0.000415349 0.00036432 0.00032206 0.000290622 0.000264204 0.00024121 0.000221518 0.000204402 0.000190548 0.000190548
GSP_Buckner_HU_00315 0.000429003 0.000370233 0.000328407 0.000293033 0.000264104 0.000240643 0.000220053 0.000202591 0.000186918 0.000174282 0.000174282
GSP_Buckner_HU_00318 0.000482386 0.000404412 0.000354203 0.000312419 0.00028093 0.000255858 0.000233456 0.00021467 0.000198102 0.000184704 0.000184704
GSP_Buckner_HU_00319 0.000453959 0.000379539 0.000333775 0.000295603 0.000265869 0.00024189 0.000220964 0.000203094 0.000187235 0.000174574 0.000174574
GSP_Buckner_HU_00321 0.000420065 0.000361424 0.000318851 0.000283143 0.000254373 0.000231905 0.000211723 0.000194708 0.000179675 0.000167506 0.000167506
GSP_Buckner_HU_00322 0.000225892 0.00020995 0.000193567 0.000173882 0.000158863 0.000145955 0.000133516 0.000123364 0.000113756 0.00010609 0.00010609
GSP_Buckner_HU_00324 0.000467865 0.000398695 0.000351525 0.000314168 0.000283307 0.000258376 0.000236021 0.000216996 0.000200227 0.000186636 0.000186636
