IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00118 0.0000784311 0.0000473357 0.0000353293 0.0000290338 0.0000245757 0.0000194618 0.0000182795 0.0000159846 0.0000144185 0.0000132419 0.0000132419
GSP_Buckner_HU_00119 0.000135464 0.0000945767 0.000075153 0.0000630203 0.0000540577 0.0000451118 0.0000411352 0.000036705 0.000033085 0.0000303701 0.0000303701
GSP_Buckner_HU_00122 0.0000786767 0.0000508104 0.0000379483 0.0000304765 0.0000271494 0.0000220636 0.0000206161 0.0000181168 0.0000162656 0.0000149356 0.0000149356
GSP_Buckner_HU_00123 0.000102622 0.0000643128 0.0000476867 0.0000384408 0.0000332934 0.0000275202 0.0000254002 0.0000224796 0.0000200833 0.0000184613 0.0000184613
GSP_Buckner_HU_00126 0.0000789844 0.0000493627 0.0000377423 0.0000291076 0.0000235266 0.0000188948 0.0000174103 0.0000150884 0.0000135089 0.0000124348 0.0000124348
GSP_Buckner_HU_00127 0.0000648246 0.0000415092 0.0000324117 0.0000250003 0.0000219487 0.0000178077 0.0000167418 0.0000144936 0.0000129151 0.0000119352 0.0000119352
GSP_Buckner_HU_00128 0.0000765897 0.0000537344 0.0000399658 0.0000337755 0.0000288228 0.0000237673 0.0000217085 0.0000191899 0.0000171311 0.0000157608 0.0000157608
GSP_Buckner_HU_00132 0.00010767 0.0000779614 0.0000628876 0.0000519063 0.0000450045 0.0000381272 0.0000349183 0.0000310071 0.0000281017 0.0000258143 0.0000258143
GSP_Buckner_HU_00134 0.0000779213 0.0000522816 0.000039779 0.0000307744 0.0000262269 0.0000210391 0.0000197925 0.0000171843 0.0000154367 0.0000142027 0.0000142027
GSP_Buckner_HU_00136 0.0000929247 0.0000581374 0.0000424085 0.000034326 0.0000302617 0.0000249851 0.0000234464 0.0000208017 0.0000186289 0.0000171244 0.0000171244
GSP_Buckner_HU_00137 0.000123081 0.0000800376 0.0000613694 0.000050987 0.0000435702 0.0000368359 0.000033991 0.0000302559 0.0000272265 0.0000249878 0.0000249878
GSP_Buckner_HU_00138 0.000112571 0.000068958 0.0000500709 0.0000403284 0.0000343738 0.0000285569 0.0000261677 0.000023142 0.0000208794 0.0000191665 0.0000191665
GSP_Buckner_HU_00139 0.0000844729 0.0000543057 0.0000390618 0.0000326358 0.0000282497 0.0000240162 0.0000220774 0.0000194998 0.0000174962 0.0000161101 0.0000161101
GSP_Buckner_HU_00140 0.0000730193 0.0000544033 0.0000428837 0.0000348129 0.0000294074 0.0000238577 0.0000217911 0.0000193493 0.0000173529 0.0000159746 0.0000159746
GSP_Buckner_HU_00142 0.0000523252 0.0000353228 0.0000239847 0.0000201347 0.0000172566 0.0000140035 0.000012977 0.0000113053 0.0000101146 0.00000933796 0.00000933796
GSP_Buckner_HU_00143 0.000099427 0.0000665744 0.0000550175 0.0000471903 0.0000414203 0.0000352544 0.0000319186 0.0000287291 0.0000257196 0.0000235918 0.0000235918
GSP_Buckner_HU_00144 0.0000788707 0.000050693 0.0000396085 0.0000337686 0.0000293885 0.0000245799 0.0000224946 0.0000198155 0.0000178775 0.0000164354 0.0000164354
GSP_Buckner_HU_00146 0.0000676556 0.0000425554 0.0000306213 0.000024265 0.0000209992 0.0000166694 0.0000159581 0.0000140318 0.0000122827 0.000011312 0.000011312
GSP_Buckner_HU_00147 0.0000711067 0.0000447628 0.0000368799 0.0000293743 0.0000248163 0.0000203447 0.0000193422 0.0000172509 0.0000154207 0.0000141744 0.0000141744
GSP_Buckner_HU_00151 0.000122407 0.0000860959 0.0000669493 0.0000559923 0.000048439 0.0000412427 0.0000375122 0.0000334594 0.0000302308 0.0000277339 0.0000277339
GSP_Buckner_HU_00156 0.000089502 0.0000618021 0.0000468625 0.0000368351 0.0000308698 0.0000253702 0.0000231948 0.0000204153 0.0000181247 0.0000166705 0.0000166705
GSP_Buckner_HU_00158 0.0000680916 0.0000487813 0.0000392692 0.0000339379 0.0000301252 0.0000249857 0.0000227657 0.0000202199 0.0000180497 0.0000166195 0.0000166195
GSP_Buckner_HU_00160 0.000122029 0.0000815013 0.0000625706 0.0000510045 0.0000433376 0.0000370596 0.0000338369 0.0000301894 0.0000273841 0.0000251261 0.0000251261
GSP_Buckner_HU_00163 0.0000668118 0.0000448235 0.0000341027 0.0000284252 0.00002447 0.0000198137 0.0000185153 0.0000163623 0.0000145592 0.0000134182 0.0000134182
